Value, Time of DA (ns), Prime? (According to DA), Time of RA (ns), Prime? (According to RA)
10000000000001361,500,NO,3600,NO
10000000000001362,500,NO,300,NO
10000000000001363,800,NO,3200,NO
10000000000001364,500,NO,400,NO
10000000000001365,500,NO,3000,NO
10000000000001366,500,NO,300,NO
10000000000001367,500,NO,2600,NO
10000000000001368,400,NO,200,NO
10000000000001369,1700,NO,2500,NO
10000000000001370,400,NO,200,NO
10000000000001371,86900,NO,3200,NO
10000000000001372,500,NO,200,NO
10000000000001373,400,NO,3000,NO
10000000000001374,1500,NO,600,NO
10000000000001375,1300,NO,6100,NO
10000000000001376,700,NO,400,NO
10000000000001377,1062469000,YES,68200,YES
10000000000001378,1700,NO,600,NO
10000000000001379,700,NO,4800,NO
10000000000001380,500,NO,300,NO
10000000000001381,129300,NO,5300,NO
10000000000001382,700,NO,300,NO
10000000000001383,700,NO,7000,NO
10000000000001384,500,NO,300,NO
10000000000001385,500,NO,2600,NO
10000000000001386,500,NO,200,NO
10000000000001387,16700,NO,3100,NO
10000000000001388,500,NO,200,NO
10000000000001389,500,NO,2500,NO
10000000000001390,400,NO,200,NO
10000000000001391,400,NO,2400,NO
10000000000001392,400,NO,200,NO
10000000000001393,600,NO,2700,NO
10000000000001394,400,NO,200,NO
10000000000001395,600,NO,2700,NO
10000000000001396,400,NO,200,NO
10000000000001397,400,NO,2500,NO
10000000000001398,2100,NO,800,NO
10000000000001399,1100,NO,5900,NO
10000000000001400,600,NO,400,NO
10000000000001401,700,NO,3600,NO
10000000000001402,600,NO,300,NO
10000000000001403,500,NO,4100,NO
10000000000001404,500,NO,300,NO
10000000000001405,400,NO,2800,NO
10000000000001406,400,NO,200,NO
10000000000001407,600,NO,2800,NO
10000000000001408,400,NO,200,NO
10000000000001409,1200,NO,5100,NO
10000000000001410,700,NO,400,NO
10000000000001411,57951900,NO,15100,NO
10000000000001412,1800,NO,500,NO
10000000000001413,1900,NO,5000,NO
10000000000001414,600,NO,400,NO
10000000000001415,600,NO,3500,NO
10000000000001416,600,NO,300,NO
10000000000001417,1800,NO,3000,NO
10000000000001418,400,NO,300,NO
10000000000001419,27221600,NO,14000,NO
10000000000001420,1500,NO,600,NO
10000000000001421,1600,NO,5200,NO
10000000000001422,600,NO,300,NO
10000000000001423,1096638200,YES,77200,YES
